"","OCCUPANCY_DATE","LOCATION_ADDRESS","LOCATION_POSTAL_CODE","LOCATION_CITY","LOCATION_PROVINCE","PROGRAM_MODEL","OVERNIGHT_SERVICE_TYPE","PROGRAM_AREA","CAPACITY_TYPE","SECTOR","SERVICE_USER_COUNT","CAPACITY_ACTUAL_BED","CAPACITY_FUNDING_BED","OCCUPIED_BEDS","CAPACITY_ACTUAL_ROOM","CAPACITY_FUNDING_ROOM","OCCUPIED_ROOMS","UNOCCUPIED_BEDS","UNAVAILABLE_BEDS","UNOCCUPIED_ROOMS","UNAVAILABLE_ROOMS","OCCUPANCY_RATE_BEDS","OCCUPANCY_RATE_ROOMS"
"1.235",2024-05-27,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",275,NA,NA,NA,26,50,0,NA,NA,26,24,NA,0
"4.111",2024-05-28,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",46,35,42,15,NA,NA,NA,20,7,NA,NA,0.428571428571429,NA
"1.99",2024-05-29,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",64,NA,NA,NA,37,41,35,NA,NA,2,4,NA,0.945945945945946
"1.207",2024-05-30,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",96,NA,NA,NA,28,35,24,NA,NA,4,7,NA,0.857142857142857
"3.63",2024-05-31,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",50,16,17,10,NA,NA,NA,6,1,NA,NA,0.625,NA
"5.207",2024-06-01,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",56,NA,NA,NA,26,33,23,NA,NA,3,7,NA,0.884615384615385
"4.27",2024-06-02,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",44,22,31,9,NA,NA,NA,13,9,NA,NA,0.409090909090909,NA
"2.61",2024-06-03,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",74,NA,NA,NA,42,49,39,NA,NA,3,7,NA,0.928571428571429
"3.11",2024-06-04,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",81,44,50,23,NA,NA,NA,21,6,NA,NA,0.522727272727273,NA
"2.233",2024-06-05,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",84,NA,NA,NA,36,48,36,NA,NA,0,12,NA,1
"4.168",2024-06-06,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",11,47,48,38,NA,NA,NA,9,1,NA,NA,0.808510638297872,NA
"2.193",2024-06-07,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",30,NA,NA,NA,43,50,36,NA,NA,7,7,NA,0.837209302325581
"5.265",2024-06-08,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",18,NA,NA,NA,47,48,20,NA,NA,27,1,NA,0.425531914893617
"5.222",2024-06-09,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",26,NA,NA,NA,17,40,11,NA,NA,6,23,NA,0.647058823529412
"3.75",2024-06-10,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",90,41,49,26,NA,NA,NA,15,8,NA,NA,0.634146341463415,NA
"3.278",2024-06-11,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",220,40,47,29,NA,NA,NA,11,7,NA,NA,0.725,NA
"2.220",2024-06-12,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",49,NA,NA,NA,35,50,13,NA,NA,22,15,NA,0.371428571428571
"5.95",2024-06-13,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",36,NA,NA,NA,47,47,45,NA,NA,2,0,NA,0.957446808510638
"3.187",2024-06-14,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",26,46,50,28,NA,NA,NA,18,4,NA,NA,0.608695652173913,NA
"5.277",2024-06-15,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",70,NA,NA,NA,48,49,41,NA,NA,7,1,NA,0.854166666666667
"2.73",2024-06-16,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",78,NA,NA,NA,28,35,20,NA,NA,8,7,NA,0.714285714285714
"4.150",2024-06-17,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",74,47,47,27,NA,NA,NA,20,0,NA,NA,0.574468085106383,NA
"1.199",2024-06-18,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",56,NA,NA,NA,18,24,0,NA,NA,18,6,NA,0
"5.283",2024-06-19,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",63,NA,NA,NA,42,46,32,NA,NA,10,4,NA,0.761904761904762
"1.211",2024-06-20,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",93,NA,NA,NA,37,39,36,NA,NA,1,2,NA,0.972972972972973
"3.122",2024-06-21,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",80,48,48,25,NA,NA,NA,23,0,NA,NA,0.520833333333333,NA
"3.104",2024-06-22,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",32,26,38,6,NA,NA,NA,20,12,NA,NA,0.230769230769231,NA
"3.1",2024-06-23,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",35,8,16,6,NA,NA,NA,2,8,NA,NA,0.75,NA
"3.254",2024-06-24,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",35,22,24,22,NA,NA,NA,0,2,NA,NA,1,NA
"3.57",2024-06-25,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",16,47,50,15,NA,NA,NA,32,3,NA,NA,0.319148936170213,NA
"1.55",2024-06-26,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",61,NA,NA,NA,47,48,40,NA,NA,7,1,NA,0.851063829787234
"2.99",2024-06-27,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",265,NA,NA,NA,45,47,40,NA,NA,5,2,NA,0.888888888888889
"5.68",2024-06-28,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",81,NA,NA,NA,49,49,47,NA,NA,2,0,NA,0.959183673469388
"1.201",2024-06-29,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",34,NA,NA,NA,45,47,36,NA,NA,9,2,NA,0.8
"3.226",2024-06-30,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",19,22,49,9,NA,NA,NA,13,27,NA,NA,0.409090909090909,NA
"1.295",2024-07-01,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",1,NA,NA,NA,46,49,39,NA,NA,7,3,NA,0.847826086956522
"2.14",2024-07-02,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",81,NA,NA,NA,43,44,19,NA,NA,24,1,NA,0.441860465116279
"4.47",2024-07-03,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",33,49,49,22,NA,NA,NA,27,0,NA,NA,0.448979591836735,NA
"1.187",2024-07-04,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",48,NA,NA,NA,31,48,27,NA,NA,4,17,NA,0.870967741935484
"2.207",2024-07-05,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",69,NA,NA,NA,33,44,29,NA,NA,4,11,NA,0.878787878787879
"2.111",2024-07-06,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",98,NA,NA,NA,27,37,20,NA,NA,7,10,NA,0.740740740740741
"1.152",2024-07-07,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",43,NA,NA,NA,18,33,13,NA,NA,5,15,NA,0.722222222222222
"2.226",2024-07-08,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",53,NA,NA,NA,31,44,30,NA,NA,1,13,NA,0.967741935483871
"3.34",2024-07-09,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",81,33,44,2,NA,NA,NA,31,11,NA,NA,0.0606060606060606,NA
"1.172",2024-07-10,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",92,NA,NA,NA,28,47,27,NA,NA,1,19,NA,0.964285714285714
"3.277",2024-07-11,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",62,37,42,33,NA,NA,NA,4,5,NA,NA,0.891891891891892,NA
"1.144",2024-07-12,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",162,NA,NA,NA,39,45,38,NA,NA,1,6,NA,0.974358974358974
"5.67",2024-07-13,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",11,NA,NA,NA,36,36,32,NA,NA,4,0,NA,0.888888888888889
"3.145",2024-07-14,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",92,47,50,28,NA,NA,NA,19,3,NA,NA,0.595744680851064,NA
"3.239",2024-07-15,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",16,41,42,14,NA,NA,NA,27,1,NA,NA,0.341463414634146,NA
"2.107",2024-07-16,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",75,NA,NA,NA,39,45,35,NA,NA,4,6,NA,0.897435897435897
"5.208",2024-07-17,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",97,NA,NA,NA,48,48,34,NA,NA,14,0,NA,0.708333333333333
"3.32",2024-07-18,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",45,45,47,8,NA,NA,NA,37,2,NA,NA,0.177777777777778,NA
"1.179",2024-07-19,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",50,NA,NA,NA,18,44,0,NA,NA,18,26,NA,0
"4.166",2024-07-20,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",1,33,42,5,NA,NA,NA,28,9,NA,NA,0.151515151515152,NA
"2.277",2024-07-21,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",39,NA,NA,NA,49,49,17,NA,NA,32,0,NA,0.346938775510204
"3.44",2024-07-22,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",58,47,48,47,NA,NA,NA,0,1,NA,NA,1,NA
"4.33",2024-07-23,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",84,47,48,43,NA,NA,NA,4,1,NA,NA,0.914893617021277,NA
"5.134",2024-07-24,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",71,NA,NA,NA,12,18,2,NA,NA,10,6,NA,0.166666666666667
"3.3",2024-07-25,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",65,35,47,32,NA,NA,NA,3,12,NA,NA,0.914285714285714,NA
"3.220",2024-07-26,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",70,25,39,2,NA,NA,NA,23,14,NA,NA,0.08,NA
"2.178",2024-07-27,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",38,NA,NA,NA,43,48,18,NA,NA,25,5,NA,0.418604651162791
"4.170",2024-07-28,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",53,39,45,1,NA,NA,NA,38,6,NA,NA,0.0256410256410256,NA
"2.229",2024-07-29,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",272,NA,NA,NA,44,44,37,NA,NA,7,0,NA,0.840909090909091
"3.103",2024-07-30,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",215,37,43,33,NA,NA,NA,4,6,NA,NA,0.891891891891892,NA
"3.132",2024-07-31,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",7,12,12,8,NA,NA,NA,4,0,NA,NA,0.666666666666667,NA
"2.249",2024-08-01,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",89,NA,NA,NA,30,32,15,NA,NA,15,2,NA,0.5
"5.40",2024-08-02,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",27,NA,NA,NA,23,44,20,NA,NA,3,21,NA,0.869565217391304
"3.235",2024-08-03,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",240,8,44,8,NA,NA,NA,0,36,NA,NA,1,NA
"1.229",2024-08-04,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",82,NA,NA,NA,11,16,9,NA,NA,2,5,NA,0.818181818181818
"5.9",2024-08-05,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",44,NA,NA,NA,38,43,38,NA,NA,0,5,NA,1
"4.246",2024-08-06,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",60,15,35,5,NA,NA,NA,10,20,NA,NA,0.333333333333333,NA
"5.120",2024-08-07,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",56,NA,NA,NA,32,46,21,NA,NA,11,14,NA,0.65625
"5.19",2024-08-08,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",95,NA,NA,NA,39,43,13,NA,NA,26,4,NA,0.333333333333333
"2.268",2024-08-09,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",88,NA,NA,NA,44,44,16,NA,NA,28,0,NA,0.363636363636364
"2.274",2024-08-10,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",53,NA,NA,NA,37,49,12,NA,NA,25,12,NA,0.324324324324324
"1.169",2024-08-11,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",88,NA,NA,NA,40,49,29,NA,NA,11,9,NA,0.725
"2.176",2024-08-12,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",22,NA,NA,NA,40,48,33,NA,NA,7,8,NA,0.825
"4.8",2024-08-13,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",153,39,42,14,NA,NA,NA,25,3,NA,NA,0.358974358974359,NA
"2.37",2024-08-14,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",103,NA,NA,NA,20,39,17,NA,NA,3,19,NA,0.85
"5.174",2024-08-15,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",79,NA,NA,NA,26,28,20,NA,NA,6,2,NA,0.769230769230769
"1.102",2024-08-16,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",222,NA,NA,NA,39,39,24,NA,NA,15,0,NA,0.615384615384615
"3.269",2024-08-17,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",38,38,41,22,NA,NA,NA,16,3,NA,NA,0.578947368421053,NA
"3.234",2024-08-18,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",85,48,50,36,NA,NA,NA,12,2,NA,NA,0.75,NA
"1.13",2024-08-19,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",3,NA,NA,NA,45,45,26,NA,NA,19,0,NA,0.577777777777778
"4.238",2024-08-20,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",54,42,48,22,NA,NA,NA,20,6,NA,NA,0.523809523809524,NA
"1.85",2024-08-21,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",43,NA,NA,NA,33,36,29,NA,NA,4,3,NA,0.878787878787879
"1.153",2024-08-22,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",89,NA,NA,NA,35,45,25,NA,NA,10,10,NA,0.714285714285714
"2.4",2024-08-23,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",77,NA,NA,NA,44,44,6,NA,NA,38,0,NA,0.136363636363636
"4.48",2024-08-24,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",32,43,45,21,NA,NA,NA,22,2,NA,NA,0.488372093023256,NA
"3.260",2024-08-25,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",84,7,35,2,NA,NA,NA,5,28,NA,NA,0.285714285714286,NA
"1.173",2024-08-26,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",93,NA,NA,NA,22,38,21,NA,NA,1,16,NA,0.954545454545455
"2.224",2024-08-27,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",144,NA,NA,NA,40,43,39,NA,NA,1,3,NA,0.975
"4.103",2024-08-28,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",76,13,26,3,NA,NA,NA,10,13,NA,NA,0.230769230769231,NA
"5.176",2024-08-29,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",3,NA,NA,NA,29,47,4,NA,NA,25,18,NA,0.137931034482759
"4.235",2024-08-30,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",71,26,30,20,NA,NA,NA,6,4,NA,NA,0.769230769230769,NA
"4.297",2024-08-31,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",2,29,45,22,NA,NA,NA,7,16,NA,NA,0.758620689655172,NA
"4.76",2024-09-01,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",21,21,48,12,NA,NA,NA,9,27,NA,NA,0.571428571428571,NA
"4.73",2024-09-02,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",73,18,31,5,NA,NA,NA,13,13,NA,NA,0.277777777777778,NA
"1.112",2024-09-03,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",87,NA,NA,NA,32,48,3,NA,NA,29,16,NA,0.09375
"1.2",2024-09-04,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",25,NA,NA,NA,45,48,13,NA,NA,32,3,NA,0.288888888888889
"4.229",2024-09-05,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",299,22,27,16,NA,NA,NA,6,5,NA,NA,0.727272727272727,NA
"5.127",2024-09-06,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",142,NA,NA,NA,46,46,7,NA,NA,39,0,NA,0.152173913043478
"2.22",2024-09-07,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",1,NA,NA,NA,45,47,43,NA,NA,2,2,NA,0.955555555555556
"1.116",2024-09-08,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",186,NA,NA,NA,26,34,2,NA,NA,24,8,NA,0.0769230769230769
"4.10",2024-09-09,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",24,43,49,5,NA,NA,NA,38,6,NA,NA,0.116279069767442,NA
"5.87",2024-09-10,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",43,NA,NA,NA,23,30,7,NA,NA,16,7,NA,0.304347826086957
"2.228",2024-09-11,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",26,NA,NA,NA,34,42,31,NA,NA,3,8,NA,0.911764705882353
"4.9",2024-09-12,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",83,26,38,19,NA,NA,NA,7,12,NA,NA,0.730769230769231,NA
"2.255",2024-09-13,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",83,NA,NA,NA,44,44,12,NA,NA,32,0,NA,0.272727272727273
"5.84",2024-09-14,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",32,NA,NA,NA,28,31,15,NA,NA,13,3,NA,0.535714285714286
"4.194",2024-09-15,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",87,40,42,24,NA,NA,NA,16,2,NA,NA,0.6,NA
"1.196",2024-09-16,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",1,NA,NA,NA,49,50,46,NA,NA,3,1,NA,0.938775510204082
"3.286",2024-09-17,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",47,13,40,8,NA,NA,NA,5,27,NA,NA,0.615384615384615,NA
"3.229",2024-09-18,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",10,19,33,11,NA,NA,NA,8,14,NA,NA,0.578947368421053,NA
